,id,name,carb,protein,fat,salt,kcal
256,D00443,메기매운탕,48.6,28.6,10.2,1859.96,400
257,D00444,복지리탕,10.3,41.7,2.7,1349.98,232.05
258,D00447,소탕,1.9,7.66,5.35,353.59,86.37
259,D00448,아구탕,12.8,37.8,4.9,1863.34,246.07
260,D00450,어탕,1.82,12.7,3.09,485.08,85.87
261,D00451,연포탕,20.19,94.9,9.03,2337.46,541.64
262,D00453,우럭매운탕,11.24,52.15,17.03,1773.88,406.82
263,D00454,육탕,0.35,12.66,3.95,356.94,87.63
264,D00456,전복탕,15.8,26.8,3,1774.4,196.85
265,D00457,조기매운탕,17.3,35.1,19.4,2272.92,384.38
266,D00458,짱뚱어탕,16.6,11.5,8.5,2050.9,188.77
267,D00460,추어탕,26.8,22.7,13.2,2635.78,316.72
268,D00461,해물탕,16.6,39.8,4.7,2046.24,267.81
269,D00463,고구마맛탕,94.6,3.3,11,76.93,491
270,D00464,고구마튀김,33.8,2.72,11.87,148.41,252.96
271,D00465,고추튀김,14.6,7.6,12.6,249.15,202
272,D00468,닭튀김,48.8,65.2,49.7,1244.48,903
273,D00469,등심돈가스,38.49,32.99,37.55,574.08,623.83
274,D00470,모래집튀김,29.1,28.1,26.6,322.44,468.37
275,D00471,미꾸라지튀김,28.86,10.89,25.39,324.47,387.49
276,D00473,생선까스,46.56,24.33,41.1,788.62,653.44
277,D00474,안심돈가스,34.25,33.28,42.4,551.55,651.76
278,D00475,양념치킨,42.3,35.5,26.8,805.49,552
279,D00477,쥐포튀김,42.5,9.62,16.49,717.03,356.91
280,D00479,치즈돈가스,41.76,42.02,46.69,870.77,755.37
281,D00480,치킨까스,44.02,27.91,33.92,779.27,593
282,D00481,대구포,2.34,31.97,0.4,3875.95,140.84
283,D00482,북어포,0.32,15.42,0.39,128.99,66.46
284,D00483,매작과,19.83,2.25,3.95,29.83,123.86
285,D00484,산자,24.65,0.69,0.93,6.86,109.71
286,D00485,송화다식,22.19,2.49,1.35,4.04,110.83
287,D00486,약과,25.47,1.26,1.43,17.19,119.73
288,D00487,유과,22.27,0.84,3.85,6.84,127.09
289,D10001,글램핑 바비큐(오리지널 L),0,17,0,744,410
290,D10002,글램핑 바비큐(나폴리M),0,15,0,644,328
291,D10003,글램핑 바비큐(나폴리L),0,16,0,734,312
292,D10004,글램핑 바비큐(씬 M),0,13,0,596,266
293,D10005,글램핑 바비큐(씬 L),0,13,0,591,273
294,D10006,글램핑 바비큐(슈퍼시드 함유 도우M),0,24,0,1006,485
295,D10007,글램핑 바비큐(슈퍼시드 함유 도우L),0,19,0,741,392
296,D10008,글램핑 바비큐 더블치즈엣지(오리지널 M),0,16,0,611,330
297,D10009,글램핑 바비큐 더블치즈엣지(오리지널 L),0,25,0,1071,489
298,D10010,더블크러스트 이베리코(더블 크러스트 L),0,19,0,844,387
299,D10011,더블크러스트 이베리코(더블 크러스트 M),0,12,0,465,345
300,D10012,리얼불고기(오리지널 L),0,14,0,564,420
301,D10013,리얼불고기(오리지널 M),0,13,0,520,280
302,D10014,리얼불고기(나폴리L),0,16,0,541,334
303,D10015,리얼불고기(나폴리M),0,23,0,946,430
304,D10016,리얼불고기(씬 L),0,20,0,676,365
305,D10017,리얼불고기(씬 M),0,22,0,838,396
306,D10018,리얼불고기(슈퍼시드 함유 도우L),0,15,0,597,313
307,D10019,리얼불고기(슈퍼시드 함유 도우M),0,14,0,561,292
308,D10020,리얼불고기 더블치즈엣지(오리지널 L),0,17,0,544,344
309,D10021,리얼불고기 더블치즈엣지(오리지널 M),0,18,0,669,350
310,D10022,문어밤 슈림프(오리지널 L),0,21,0,856,428
311,D10023,문어밤 슈림프(오리지널 M),0,15,0,600,280
312,D10024,문어밤 슈림프(나폴리L),0,18,0,708,323
313,D10025,문어밤 슈림프(나폴리M),0,22,0,1078,430
314,D10026,문어밤 슈림프(씬 L),0,15,0,596,254
315,D10027,문어밤 슈림프(씬 M),0,20,0,912,389
316,D10028,문어밤 슈림프(슈퍼시드 함유 도우L),0,19,0,794,333
317,D10029,문어밤 슈림프(슈퍼시드 함유 도우M),0,16,0,608,280
318,D10030,문어밤 슈림프 더블치즈엣지(오리지널 L),0,17,0,682,322
319,D10031,문어밤 슈림프 더블치즈엣지(오리지널 M),0,18,0,784,347
320,D10032,베스트 콰트로(오리지널 L),0,25,0,1024,460
321,D10033,베스트 콰트로(오리지널 M),0,13,0,598,312
322,D10034,베스트 콰트로(나폴리L),0,18,0,704,387
323,D10035,베스트 콰트로(나폴리M),0,12,0,499,259
